Location;Height [m];OD [m];Thickness [mm];Mass Density [kg/m];Fore-aft inertia [kg.m];Side-side inertia [kg.m];Fore-aft stiffness [N.m^2];Side-side stiffness [N.m^2];Torsional stiffness [N.m^2];Axial stiffness [N]
Monopile start;-75;10;55,341;14429,9608;178389,1373;178389,1373;4,27484E+12;4,27484E+12;3,38995E+12;3,45793E+11
Mud line;-30;10;55,341;14429,9608;178389,1373;178389,1373;4,27484E+12;4,27484E+12;3,38995E+12;3,45793E+11
;-29,999;10;55,341;14429,9608;178389,1373;178389,1373;4,27484E+12;4,27484E+12;3,38995E+12;3,45793E+11
;-25;10;55,341;14429,9608;178389,1373;178389,1373;4,27484E+12;4,27484E+12;3,38995E+12;3,45793E+11
;-24,999;10;53,449;13939,28029;172388,3576;172388,3576;4,13104E+12;4,13104E+12;3,27592E+12;3,34035E+11
;-20;10;53,449;13939,28029;172388,3576;172388,3576;4,13104E+12;4,13104E+12;3,27592E+12;3,34035E+11
;-19,999;10;51,509;13435,95631;166228,1842;166228,1842;3,98342E+12;3,98342E+12;3,15885E+12;3,21974E+11
;-15;10;51,509;13435,95631;166228,1842;166228,1842;3,98342E+12;3,98342E+12;3,15885E+12;3,21974E+11
;-14,999;10;49,527;12921,53181;159927,1597;159927,1597;3,83243E+12;3,83243E+12;3,03911E+12;3,09646E+11
;-10;10;49,527;12921,53181;159927,1597;159927,1597;3,83243E+12;3,83243E+12;3,03911E+12;3,09646E+11
;-9,999;10;47,517;12399,62957;153529,3858;153529,3858;3,67911E+12;3,67911E+12;2,91754E+12;2,97139E+11
;-5;10;47,517;12399,62957;153529,3858;153529,3858;3,67911E+12;3,67911E+12;2,91754E+12;2,97139E+11
;-4,999;10;45,517;11880,11357;147155,7052;147155,7052;3,52638E+12;3,52638E+12;2,79642E+12;2,8469E+11
Water line;0;10;45,517;11880,11357;147155,7052;147155,7052;3,52638E+12;3,52638E+12;2,79642E+12;2,8469E+11
;0,001;10;43,527;11362,98697;140806,2274;140806,2274;3,37422E+12;3,37422E+12;2,67576E+12;2,72298E+11
;5;10;43,527;11362,98697;140806,2274;140806,2274;3,37422E+12;3,37422E+12;2,67576E+12;2,72298E+11
;5,001;10;42,242;11028,95317;136702,1221;136702,1221;3,27587E+12;3,27587E+12;2,59777E+12;2,64293E+11
;10;10;42,242;11028,95317;136702,1221;136702,1221;3,27587E+12;3,27587E+12;2,59777E+12;2,64293E+11
;10,001;10;41,058;10721,09752;132917,7703;132917,7703;3,18519E+12;3,18519E+12;2,52585E+12;2,56916E+11
Tower start;15;10;41,058;10721,09752;132917,7703;132917,7703;3,18519E+12;3,18519E+12;2,52585E+12;2,56916E+11
;15,001;10;39,496;10314,84441;127921,09;127921,09;3,06545E+12;3,06545E+12;2,4309E+12;2,47181E+11
;28;10;39,496;10314,84441;127921,09;127921,09;3,06545E+12;3,06545E+12;2,4309E+12;2,47181E+11
;28,001;10;36,456;9523,818531;118182,8952;118182,8952;2,83208E+12;2,83208E+12;2,24584E+12;2,28225E+11
;41;9,926;36,456;9453,084406;115569,1674;115569,1674;2,76945E+12;2,76945E+12;2,19617E+12;2,2653E+11
;41,001;9,926;33,779;8761,306059;107169,5851;107169,5851;2,56817E+12;2,56817E+12;2,03656E+12;2,09952E+11
;54;9,443;33,779;8333,524389;92225,63609;92225,63609;2,21006E+12;2,21006E+12;1,75257E+12;1,99701E+11
;54,001;9,443;32,192;7943,339506;87937,08111;87937,08111;2,10729E+12;2,10729E+12;1,67108E+12;1,90351E+11
;67;8,833;32,192;7428,459477;71921,65546;71921,65546;1,7235E+12;1,7235E+12;1,36674E+12;1,78012E+11
;67,001;8,833;30,708;7087,21416;68640,80968;68640,80968;1,64488E+12;1,64488E+12;1,30439E+12;1,69835E+11
;80;8,151;30,708;6538,098083;53890,34303;53890,34303;1,29141E+12;1,29141E+12;1,02408E+12;1,56676E+11
;80,001;8,151;29,101;6197,174862;51100,42451;51100,42451;1,22455E+12;1,22455E+12;9,71067E+11;1,48506E+11
;93;7,39;29,101;5616,516315;38040,44101;38040,44101;9,11585E+11;9,11585E+11;7,22887E+11;1,34592E+11
;93,001;7,39;27,213;5253,477923;35599,78138;35599,78138;8,53098E+11;8,53098E+11;6,76507E+11;1,25892E+11
;106;6,909;27,213;4910,27597;29068,66978;29068,66978;6,96589E+11;6,96589E+11;5,52395E+11;1,17668E+11
;106,001;6,909;24,009;4334,167603;25681,93541;25681,93541;6,15431E+11;6,15431E+11;4,88037E+11;1,03862E+11
;119;6,748;24,009;4232,816565;23922,09689;23922,09689;5,73259E+11;5,73259E+11;4,54594E+11;1,01433E+11
;119,001;6,748;20,826;3673,38779;20780,03503;20780,03503;4,97964E+11;4,97964E+11;3,94885E+11;88027505148
;132;6,572;20,826;3577,282612;19191,36753;19191,36753;4,59894E+11;4,59894E+11;3,64696E+11;85724481485
;132,001;6,572;23,998;4120,141253;22082,3637;22082,3637;5,29172E+11;5,29172E+11;4,19634E+11;98733315437
Tower top;144,386;6,5;23,998;4074,837331;21361,91592;21361,91592;5,11908E+11;5,11908E+11;4,05943E+11;97647671493
